month,predicted_consumption,state,ward_id
2014-04-01,21.04263603,Chandigarh,W1
2014-05-01,20.748848593473056,Chandigarh,W1
2014-06-01,20.445268242343605,Chandigarh,W1
2014-07-01,20.151480805893645,Chandigarh,W1
2014-08-01,19.847900454774454,Chandigarh,W1
2014-09-01,19.54432010381509,Chandigarh,W1
2014-10-01,19.250532667254596,Chandigarh,W1
2014-11-01,18.94695231620342,Chandigarh,W1
2014-12-01,18.653164880255645,Chandigarh,W1
2015-01-01,18.34958452987163,Chandigarh,W1
2015-02-01,18.04600417948762,Chandigarh,W1
2015-03-01,17.771802572689158,Chandigarh,W1
2015-03-31,17.478015136833665,Chandigarh,W1
2015-04-30,17.184227700978166,Chandigarh,W1
2015-05-31,16.88064735059416,Chandigarh,W1
2015-06-30,16.58685991473866,Chandigarh,W1
2015-07-31,16.28327956435465,Chandigarh,W1
2015-08-31,15.979699213970637,Chandigarh,W1
2015-09-30,15.685911778115143,Chandigarh,W1
2015-10-31,15.382331427731131,Chandigarh,W1
2015-11-30,15.088543991875635,Chandigarh,W1
2015-12-31,14.784963641491624,Chandigarh,W1
2016-01-31,14.481383291107614,Chandigarh,W1
2016-02-29,14.197388769780634,Chandigarh,W1
2014-04-01,0.48669912000000004,Chandigarh,W2
2014-05-01,0.48193248287425156,Chandigarh,W2
2014-06-01,0.47700695790825537,Chandigarh,W2
2014-07-01,0.47224032089885687,Chandigarh,W2
2014-08-01,0.4673147959747222,Chandigarh,W2
2014-09-01,0.4623892711136955,Chandigarh,W2
2014-10-01,0.45762274725368396,Chandigarh,W2
2014-11-01,0.452697339510814,Chandigarh,W2
2014-12-01,0.4479317045804782,Chandigarh,W2
2015-01-01,0.44300966550838966,Chandigarh,W2
2015-02-01,0.43808762643630117,Chandigarh,W2
2015-03-01,0.4336419137260276,Chandigarh,W2
2015-03-31,0.42887865010787746,Chandigarh,W2
2015-04-30,0.42411538648972724,Chandigarh,W2
2015-05-31,0.41919334741763875,Chandigarh,W2
2015-06-30,0.41443008379948854,Chandigarh,W2
2015-07-31,0.40950804472740004,Chandigarh,W2
